Episode 222/1000, Reward: 2266.3639051020996
Episode 223/1000, Reward: 1830.660647734979
Episode 224/1000, Reward: 1569.6315745235654
Episode 225/1000, Reward: 2086.0090239212
Episode 226/1000, Reward: 2025.641237067707
Episode 227/1000, Reward: 1813.910083734283
Episode 228/1000, Reward: 1676.1387435087258
Episode 229/1000, Reward: 1980.4729494634132
Episode 230/1000, Reward: 1818.2522715533519
Episode 231/1000, Reward: 1994.4983280431757
Episode 232/1000, Reward: 1853.0552506515928
Episode 233/1000, Reward: 1602.798876299406
Episode 234/1000, Reward: 2005.3550039620375
Episode 235/1000, Reward: 1084.187749761041
Episode 236/1000, Reward: 1479.8040032243375
Episode 237/1000, Reward: 2092.913082639473
